ConditionCode,Condition,Address,StoreName,Classify,Lat,Long
1,영업/정상,서울특별시 강남구 논현로28길 9 유진빌딩 (도곡동),홈플러스익스프레스 도곡2점,구분없음,203764.786572817,442286.229201457
1,영업/정상,서울특별시 강남구 압구정로29길 72-1 (압구정동),신사상가,그 밖의 대규모점포,202440.338882233,447782.51322707
﻿1,영업/정상,서울특별시 강남구 압구정로 407 (압구정동 갤러리아백화점),갤러리아백화점(동관),백화점,203604.761651873,447316.222786487
1,영업/정상,서울특별시 강남구 학동로101길 26 (청담동),청담삼익시장,그 밖의 대규모점포,205034.15838707,446675.932361885
1,영업/정상,서울특별시 강남구 남부순환로 2912 (대치동 개포우성아파트),그랑프리,그 밖의 대규모점포,204992.451561361,443183.576115254
1,영업/정상,서울특별시 강남구 남부순환로 2917 (대치동),청실종합상가,그 밖의 대규모점포,205154.638096613,443439.981644506
1,영업/정상,서울특별시 강남구 삼성로64길 41 (대치동),대치종합상가,그 밖의 대규모점포,205558.159926896,444312.078934352
1,영업/정상,서울특별시 강남구 개포로109길 5 (개포동 대청아파트),대치1단지상가,그 밖의 대규모점포,206581.787067095,443555.991242524
1,영업/정상,서울특별시 강남구 개포로109길 21 (개포동 대청아파트),대치2단지상가,그 밖의 대규모점포,206581.787067095,443555.991242524
1,영업/정상,서울특별시 강남구 테헤란로87길 22-0 (삼성동),도심공항몰(CALT MALL),쇼핑센터,205170.959716696,445264.936337181
1,영업/정상,서울특별시 강남구 강남대로 432 (역삼동 점프밀라노),점프밀라노,그 밖의 대규모점포,202296.99602809,444335.013666084
1,영업/정상,서울특별시 강남구 삼성로 633 1층 (삼성동 삼광빌딩),노브랜드 삼성점,구분없음,204447.069004407,446008.542809355
1,영업/정상,서울특별시 강남구 테헤란로 521 (삼성동),파르나스몰(PARNAS MALL),쇼핑센터,205314.159889285,445204.709309676
1,영업/정상,서울특별시 강남구 봉은사로 524 (삼성동),코엑스 호텔아케이드,쇼핑센터,205130.591678902,445590.096837802
